,def_season,def_team,def_special_teams_tds,def_tackles_solo,def_tackles_with_assist,def_tackle_assists,def_tackles_for_loss,def_tackles_for_loss_yards,def_fumbles_forced,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_safeties,def_misc_yards,def_fumble_recovery_opp,def_fumble_recovery_yards_opp,def_fumble_recovery_tds,def_punt_returns,def_punt_return_yards,def_kickoff_returns,def_kickoff_return_yards
176,2019,LA,0,610,84,376,70,346,15,50,303,93,13,137,76,2,1,41,11,12,2,27,170,18,404
177,2019,LAC,1,643,53,305,65,234,6,29,176,67,11,74,45,0,0,0,3,3,0,22,118,35,726
178,2019,LV,0,630,68,234,68,313,9,32,248,64,9,214,67,2,0,0,6,6,0,27,190,35,811
179,2019,MIA,1,609,56,406,44,204,9,23,155,64,13,190,66,1,1,0,3,3,0,27,177,36,796
180,2019,MIN,0,700,39,291,81,381,19,48,362,101,17,95,83,1,1,0,14,14,1,28,191,17,380
181,2019,NE,2,545,116,274,49,278,15,47,326,102,25,353,89,3,1,17,11,11,2,29,233,26,575
182,2019,NO,1,632,29,239,76,389,11,50,323,110,13,140,78,2,1,0,10,10,1,40,368,28,676
183,2019,NYG,1,642,81,375,68,277,9,36,246,98,10,171,65,1,1,0,6,6,1,28,274,49,1153
184,2019,NYJ,1,671,25,319,91,351,10,35,222,99,12,138,67,3,2,14,9,9,2,21,240,37,807
185,2019,PHI,0,615,20,268,76,324,15,43,271,106,11,159,82,1,0,18,9,9,2,27,160,29,653
186,2019,PIT,1,643,126,338,78,345,22,53,335,118,20,235,83,1,0,0,18,18,2,29,285,29,525
187,2019,SEA,0,577,56,390,45,171,20,28,184,68,16,161,74,2,0,46,16,16,1,23,141,22,432
188,2019,SF,0,648,53,283,77,388,23,48,367,93,12,286,75,3,0,0,15,15,2,33,264,20,409
189,2019,TB,0,668,27,257,82,338,21,47,325,117,12,201,96,2,0,0,16,16,4,33,172,25,494
190,2019,TEN,1,622,107,377,60,289,11,42,258,84,14,158,72,1,1,77,9,9,2,22,169,30,638
191,2019,WAS,1,716,53,347,73,292,16,46,270,95,13,106,52,0,0,2,9,9,0,22,104,33,833
192,2020,ARI,0,689,55,297,80,391,15,48,326,100,11,129,57,0,1,5,10,10,0,25,136,24,525
193,2020,ATL,0,663,27,341,53,258,17,29,221,92,12,204,51,1,0,0,9,9,0,17,152,20,409
194,2020,BAL,1,624,44,340,62,323,25,39,272,116,10,78,67,0,2,0,12,12,3,27,244,23,613
195,2020,BUF,1,632,99,293,58,252,15,38,220,92,15,184,76,2,0,0,11,11,1,31,370,36,995
196,2020,CAR,0,580,20,408,51,225,14,29,199,89,7,110,58,0,0,0,15,15,3,20,117,29,734
197,2020,CHI,1,659,24,332,58,248,15,35,234,88,10,81,71,0,1,0,8,8,1,25,190,47,1145
198,2020,CIN,1,598,28,390,43,151,10,17,83,73,11,84,80,0,0,0,6,6,0,23,232,31,764
199,2020,CLE,0,641,45,327,48,211,17,38,262,75,11,214,74,2,2,0,10,10,0,24,115,36,795
200,2020,DAL,1,636,20,386,49,184,16,31,178,74,10,108,46,0,0,0,12,13,2,29,265,37,965
201,2020,DEN,1,689,24,304,61,328,12,42,282,93,10,130,64,0,0,0,6,6,0,20,267,27,557
202,2020,DET,1,666,57,353,53,216,15,24,195,56,7,65,51,0,1,19,5,5,0,17,217,34,845
203,2020,GB,0,612,55,321,53,252,12,41,254,80,11,98,74,1,1,0,7,7,1,11,53,33,623
204,2020,HOU,0,656,80,370,59,261,9,33,217,80,3,19,50,1,0,0,6,6,0,20,158,36,722
205,2020,IND,2,639,105,257,64,256,14,40,261,81,15,266,78,4,3,6,10,10,0,31,312,43,1111
206,2020,JAX,2,675,45,355,51,169,12,18,91,77,12,200,60,1,0,16,5,5,0,18,205,30,614
207,2020,KC,2,642,16,294,41,219,13,32,189,99,16,259,64,2,1,27,6,6,0,28,163,25,646
208,2020,LA,0,611,50,342,65,361,12,53,350,102,14,266,68,3,1,3,8,8,1,34,235,25,516
209,2020,LAC,0,619,44,336,51,193,6,27,137,85,12,217,54,2,1,0,7,7,0,18,100,42,924
